id,happiness
8001,3.816814590487481
8002,2.8658492373007993
8003,3.4729282052851174
8004,4.323113832970249
8005,3.21696151575731
8006,4.353363020272933
8007,3.928507189041928
8008,4.466718628066601
8009,4.071842587442843
8010,2.8345256260920757
8011,3.003433144825568
8012,3.7017244033129044
8013,4.161397689687717
8014,3.526891886904308
8015,3.5206396866884675
8016,4.5301803948924695
8017,3.650310325208392
8018,4.347775677942756
8019,3.8510980931500502
8020,3.9711303555737585
8021,4.06162053413005
8022,3.7295321633770997
8023,4.056868084514791
8024,3.8201562824571558
8025,3.0930786632822738
8026,4.052839958600785
8027,4.25280043893127
8028,3.933898190108366
8029,4.454302388373464
8030,4.234034555528513
8031,3.8725725228228516
8032,4.215518702688504
8033,4.076865380346364
8034,3.4815804629834046
8035,3.492858779430698
8036,4.49730782483776
8037,4.080992628371764
8038,4.026912326465227
8039,3.7649032264894355
8040,4.140374746601447
8041,4.288400433217512
8042,3.7573905599047404
8043,3.9984918442068316
8044,3.7951655456465514
8045,4.358181200218614
8046,4.033452005400678
8047,4.462933874891042
8048,3.8951638735921414
8049,3.777596715304397
8050,4.469084350609094
8051,3.917013464095794
8052,4.132340444695845
8053,2.9661282315661577
8054,3.9598588139676627
8055,4.226310677217155
8056,2.8119140762818198
8057,3.864090711169666
8058,3.3858075012623132
8059,2.9104103136173376
8060,4.2552941011194445
8061,3.2033527183321033
8062,3.369726917138862
8063,3.959362731760275
8064,4.108478681257431
8065,4.064944188411316
8066,4.1553208571253215
8067,4.045131962880322
8068,3.9737316192475984
8069,3.676015439118726
8070,4.087164507857648
8071,4.048362401993758
8072,4.330439016968951
8073,3.629936509242918
8074,3.8366157018593494
8075,3.3402096422951044
8076,3.8374325904858915
8077,3.5344176637189877
8078,3.9812383074279776
8079,4.470980419619964
8080,4.00852548599952
8081,3.99368497684534
8082,3.9842136168208
8083,4.419378179134523
8084,4.364129762346813
8085,4.4487221154222025
8086,4.201524636179101
8087,4.138320947146542
8088,4.136733958818215
8089,3.6419819043947537
8090,3.858064642570323
8091,4.153355436287889
8092,3.8116941451154935
8093,4.207582767883437
8094,4.220109311291152
8095,4.801652269380732
8096,3.359679020767039
8097,4.327971933515372
8098,3.871283961839632
8099,3.638365850204491
8100,4.025917554040869
8101,4.121223689008861
8102,4.130007270136991
8103,3.572925065369508
8104,4.61037234602729
8105,4.032872468464186
8106,4.276039177492241
8107,4.340273362503405
8108,4.086559019535189
8109,3.736994438154867
8110,3.669891941328609
8111,4.271718022067451
8112,3.5833122403478015
8113,3.8112240775959734
8114,4.539740260027979
8115,3.935641940044838
8116,4.260544544880973
8117,3.77471816766394
8118,3.7008143003121825
8119,4.068357249987763
8120,4.505577551894709
8121,3.2011914717584657
8122,4.23833107586669
8123,3.5887040441206084
8124,3.7909102605597664
8125,4.18899379941794
8126,4.5957294108326305
8127,1.9276670008504013
8128,4.040569250666146
8129,3.807981109097585
8130,3.941309442199703
8131,3.91451209665133
8132,4.247475561713603
8133,4.200710503391969
8134,4.2054799699063565
8135,3.9699595150231235
8136,4.520491386748282
8137,4.171352852471375
8138,3.581413785512956
8139,3.8540417353445653
8140,3.030826539064488
8141,3.9969047755696265
8142,3.8206152355142753
8143,4.447112512242681
8144,3.728271226762135
8145,4.16819663528675
8146,2.1116928466754246
8147,3.981804832403729
8148,2.6119849956430894
8149,3.7018104738053803
8150,3.7719092009482984
8151,2.91534628231936
8152,4.009427894260175
8153,3.500386002888694
8154,3.638964086003911
8155,3.856938664698621
8156,3.71729005892856
8157,3.8617239931272636
8158,3.270085666628462
8159,4.0289307369260134
8160,3.9886108133772384
8161,3.5473092921373883
8162,3.989598931703508
8163,4.104751929036023
8164,3.884554917825651
8165,4.152585495208111
8166,4.290295711161574
8167,3.8187756701238764
